Year,Deaths,2012,2013,2014,2015,2016,2017
2016,"43,078"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2015,"42,800"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2014,"41,445"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2013,"40,987"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2012,"40,016"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2017,"32,280"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2016,"31,741"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2015,"31,783"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2014,"30,557"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2013,"30,703"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2012,"29,544"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2017,"61,876"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2016,"59,873"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2015,"59,871"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2014,"58,320"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2013,"57,444"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2012,"56,094"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2017,"10,200"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2016,"9,905"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2015,"9,942"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2014,"9,381"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2013,"9,511"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2012,"8,976"," 40,701 "," 40,674 "," 42,494 "," 43,941 "," 44,063 "," 46,101 "
2017,"16,878"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2016,"16,217"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2015,"16,740"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2014,"15,978"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2013,"15,754"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2012,"15,659"," 46,670 "," 46,653 "," 48,957 "," 50,556 "," 49,360 "," 50,204 "
2017,"24,657"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2016,"23,902"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2015,"22,879"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2014,"21,793"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2013,"21,468"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2012,"20,785"," 39,909 "," 39,664 "," 41,773 "," 44,493 "," 45,450 "," 47,542 "
2017,"12,504"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2016,"12,203"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2015,"11,984"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2014,"11,516"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2013,"10,897"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2012,"10,730"," 51,123 "," 50,865 "," 52,643 "," 54,684 "," 56,321 "," 58,419 "
2017,"74,846"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2016,"73,155"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2015,"72,271"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2014,"71,316"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2013,"71,403"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2012,"70,534"," 54,574 "," 54,813 "," 57,065 "," 59,175 "," 60,533 "," 62,397 "
2017,"18,673"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2016,"18,365"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2015,"17,685"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2014,"17,579"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2013,"16,805"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2012,"16,710"," 35,749 "," 35,088 "," 37,219 "," 38,103 "," 38,775 "," 39,437 "
2017,"155,358"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
