Table S-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oregon,"361,760","377,060","393,990","392,665","401,130","396,400","404,800","429,610","440,425","446,840","479,695","499,185","523,765","528,875","546,645",,"985,556","994,743","1,004,706","1,012,559","1,020,615","1,024,888","1,034,410","1,041,863","1,049,006","1,061,435","1,080,963","1,112,408","1,137,469","1,155,509","1,172,996",,36.7,37.9,39.2,38.8,39.3,38.7,39.1,41.2,42.0,42.1,44.4,44.9,46.0,45.8,46.6
Pennsylvania,"1,269,455","1,282,535","1,291,415","1,299,315","1,326,260","1,326,650","1,335,850","1,382,545","1,411,540","1,428,330","1,469,340","1,505,490","1,523,735","1,564,295","1,586,105",,"3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,126,308","3,125,681","3,128,332","3,135,420","3,144,540","3,148,142","3,151,070","3,168,645","3,196,393","3,222,875",,39.0,39.8,40.4,40.9,42.2,42.4,42.7,44.2,45.0,45.4,46.7,47.8,48.1,48.9,49.2
Rhode Island,"127,600","124,010","118,325","119,225","120,460","114,935","113,495","115,515","115,610","113,425","118,105","126,120","123,060","123,165","131,920",,"292,094","284,670","277,823","272,611","266,874","263,766","262,028","261,835","262,859","264,176","265,110","266,628","267,252","270,705","273,548",,43.7,43.6,42.6,43.7,45.1,43.6,43.3,44.1,44.0,42.9,44.5,47.3,46.0,45.5,48.2
South Carolina,"389,380","383,505","411,755","412,750","425,930","423,545","424,315","448,225","459,195","463,260","481,900","497,240","509,040","537,240","551,785",,"1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,666","1,191,652","1,195,740","1,204,834","1,219,478","1,236,951","1,252,837","1,268,559","1,285,375","1,303,358",,33.3,32.5,34.7,34.5,35.6,35.5,35.6,37.5,38.1,38.0,39.0,39.7,40.1,41.8,42.3
South Dakota,"82,620","81,430","81,600","83,820","80,520","85,675","85,995","87,590","94,715","95,495","94,825","100,370","96,315","110,680","106,710",,"194,053","193,284","194,894","195,036","196,965","199,015","201,106","204,203","206,526","208,082","209,070","211,867","216,529","218,772","220,928",,42.6,42.1,41.9,43.0,40.9,43.0,42.8,42.9,45.9,45.9,45.4,47.4,44.5,50.6,48.3
Tennessee,"521,415","524,650","529,570","550,850","579,010","566,625","574,930","598,950","618,025","620,620","641,260","657,500","699,010","694,610","740,710",,"1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,677,469","1,677,851","1,685,054","1,690,596","1,700,242","1,711,613","1,726,844","1,750,044","1,773,550","1,797,314",,31.0,31.0,31.2,32.6,34.4,33.8,34.3,35.5,36.6,36.5,37.5,38.1,39.9,39.2,41.2
Texas,"2,112,580","2,183,005","2,244,095","2,277,955","2,312,815","2,376,590","2,486,640","2,557,095","2,656,620","2,769,675","2,880,270","2,973,730","3,121,415","3,241,920","3,370,295",,"6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,096,418","7,198,429","7,320,100","7,430,277","7,575,333","7,730,258","7,865,426","7,989,180","8,098,850","8,219,202",,31.8,32.4,32.8,32.9,33.0,33.5,34.5,34.9,35.8,36.6,37.3,37.8,39.1,40.0,41.0
Utah,"276,705","278,685","289,025","304,685","302,340","313,175","323,280","337,520","345,575","351,410","360,630","394,415","408,665","429,990","428,860",,"679,624","701,224","726,571","746,850","765,668","781,612","791,821","800,765","812,373","824,361","837,655","858,898","880,412","898,476","915,259",,40.7,39.7,39.8,40.8,39.5,40.1,40.8,42.1,42.5,42.6,43.1,45.9,46.4,47.9,46.9
Vermont,"68,445","68,160","69,115","68,015","68,180","65,045","70,425","68,525","69,480","67,225","66,435","69,700","70,450","75,985","75,815",,"158,855","155,997","153,309","151,259","149,150","147,554","146,433","144,989","144,560","143,157","142,403","141,762","142,874","144,499","145,675",,43.1,43.7,45.1,45.0,45.7,44.1,48.1,47.3,48.1,47.0,46.7,49.2,49.3,52.6,52.0
Virginia,"925,210","949,490","951,425","960,410","970,870","1,010,140","1,049,675","1,063,895","1,079,140","1,116,430","1,112,810","1,140,095","1,161,820","1,186,805","1,202,850",,"2,190,025","2,190,642","2,186,905","2,189,453","2,191,638","2,203,579","2,214,975","2,232,302","2,245,101","2,254,119","2,258,180","2,261,664","2,274,775","2,288,181","2,302,877",,42.2,43.3,43.5,43.9,44.3,45.8,47.4,47.7,48.1,49.5,49.3,50.4,51.1,51.9,52.2
